DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.36   1.90    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.35   2.50    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.19   1.80    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.16   1.20    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.35   1.90    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.32   2.60    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.29   2.50    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.27   2.30    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.82   9.10    Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/j.apcata.2011.04.022    pyrophosphate   Cu-Fe   903 -1.89   10.10   Polniser    gas N2O heterogeneous   no  None    Phosphate
10.1016/S0920-5861(98)00095-9   MoO3    Mo  723 -2.52   11.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Mo  773 -1.92   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Cu  723 -2.22   19.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Cu  773 -1.38   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Co  723 -2.30   14.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Co  773 -1.54   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Fe  723 -2.30   14.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Fe  773 -1.41   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    V   723 -2.22   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    V   773 -2.22   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Ga  723 -1.89   10.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   MoO3    Ga  773 -1.49   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 W   723 -2.30   6.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 W   773 -2.40   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Cu  723 -2.52   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Cu  773 -2.40   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Co  723 -1.92   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Co  773 -2.40   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Fe  723 -2.70   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Fe  773 -2.22   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 V   723 -2.10   16.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 V   773 -1.92   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Ga  723 -2.40   11.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   WO3 Ga  773 -1.74   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   Ga2O3/MoO3  Ga  723 -1.52   22.00   Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   Ga2O3/MoO4  Ga  773 -1.51   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   ZnO/MoO3    Zn  728 -2.40   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   ZnO/MoO4    Zn  773 -1.44   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   Ga2O3   Ga  723 -1.82   3.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   Ga2O3   Ga  773 -1.51   0.00    Taylor  gas O2  heterogeneous   no  None    Oxide
10.1016/S0920-5861(98)00095-9   quartz-packing  -   723 -2.40   0.00    Taylor  gas O2  heterogeneous   yes None    Gas-phase
10.1016/S0920-5861(98)00095-9   quartz-packing  -   748 -1.46   15.00   Taylor  gas O2  heterogeneous   yes None    Gas-phase
10.1016/S0920-5861(98)00095-9   quartz-packing  -   773 -1.46   15.00   Taylor  gas O2  heterogeneous   yes None    Gas-phase
10.1016/S0920-5861(98)00095-9   quartz-packing  -   723 -1.09   29.00   Taylor  gas O2  heterogeneous   yes None    Gas-phase
